year,household_class,rev_crops,rev_livestock_sales,rev_off_farm,cost_crop_inputs,cost_storage,cost_livestock,cost_hired_labor,profit,discount_factor,discounted_profit
1,HFR,17545.5,0.0,22080.0,2880.0,0.0,0.0,9600.0,27145.5,1.0,27145.5
1,HMR,23017.75,0.0,23200.0,3600.0,0.0,0.0,10400.0,32217.75,1.0,32217.75
1,MFIR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,1.0,40234.5
1,MMR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,1.0,40234.5
1,MMIR,36123.5,0.0,30400.0,5400.0,0.0,0.0,14400.0,46723.5,1.0,46723.5
1,MFR,22890.0,0.0,28000.0,3600.0,0.0,0.0,12000.0,35290.0,1.0,35290.0
2,HFR,17545.5,0.0,22080.0,2880.0,0.0,0.0,9600.0,27145.5,0.9090909090909091,24677.727272727272
2,HMR,23017.75,0.0,23200.0,3600.0,0.0,0.0,10400.0,32217.75,0.9090909090909091,29288.863636363636
2,MFIR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.9090909090909091,36576.818181818184
2,MMR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.9090909090909091,36576.818181818184
2,MMIR,36123.5,0.0,30400.0,5400.0,0.0,0.0,14400.0,46723.5,0.9090909090909091,42475.90909090909
2,MFR,22890.0,0.0,28000.0,3600.0,0.0,0.0,12000.0,35290.0,0.9090909090909091,32081.81818181818
3,HFR,17545.5,0.0,22080.0,2880.0,0.0,0.0,9600.0,27145.5,0.8264462809917354,22434.297520661155
3,HMR,23017.75,0.0,23200.0,3600.0,0.0,0.0,10400.0,32217.75,0.8264462809917354,26626.239669421484
3,MFIR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.8264462809917354,33251.65289256198
3,MMR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.8264462809917354,33251.65289256198
3,MMIR,36123.5,0.0,30400.0,5400.0,0.0,0.0,14400.0,46723.5,0.8264462809917354,38614.46280991735
3,MFR,22890.0,0.0,28000.0,3600.0,0.0,0.0,12000.0,35290.0,0.8264462809917354,29165.289256198343
4,HFR,17545.5,0.0,22080.0,2880.0,0.0,0.0,9600.0,27145.5,0.7513148009015775,20394.815927873773
4,HMR,23017.75,0.0,23200.0,3600.0,0.0,0.0,10400.0,32217.75,0.7513148009015775,24205.672426746798
4,MFIR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.7513148009015775,30228.77535687452
4,MMR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.7513148009015775,30228.77535687452
4,MMIR,36123.5,0.0,30400.0,5400.0,0.0,0.0,14400.0,46723.5,0.7513148009015775,35104.05709992486
4,MFR,22890.0,0.0,28000.0,3600.0,0.0,0.0,12000.0,35290.0,0.7513148009015775,26513.899323816673
5,HFR,17545.5,0.0,22080.0,2880.0,0.0,0.0,9600.0,27145.5,0.6830134553650705,18540.74175261252
5,HMR,23017.75,0.0,23200.0,3600.0,0.0,0.0,10400.0,32217.75,0.6830134553650705,22005.156751588
5,MFIR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.6830134553650705,27480.70486988593
5,MMR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.6830134553650705,27480.70486988593
5,MMIR,36123.5,0.0,30400.0,5400.0,0.0,0.0,14400.0,46723.5,0.6830134553650705,31912.779181749873
5,MFR,22890.0,0.0,28000.0,3600.0,0.0,0.0,12000.0,35290.0,0.6830134553650705,24103.54483983334
6,HFR,17545.5,0.0,22080.0,2880.0,0.0,0.0,9600.0,27145.5,0.6209213230591549,16855.21977510229
6,HMR,23017.75,0.0,23200.0,3600.0,0.0,0.0,10400.0,32217.75,0.6209213230591549,20004.687955989088
