scenario,variant,household_class,NPV
baseline,no_policy,HFR,183477.08100469704
baseline,no_policy,HMR,217760.53955679867
baseline,no_policy,MFIR,271945.94373592245
baseline,no_policy,MFR,238525.95047635
baseline,no_policy,MMIR,315805.2492797319
baseline,no_policy,MMR,271945.94373592245
baseline,policy_fert_subsidy,HFR,186721.41243650913
baseline,policy_fert_subsidy,HMR,221815.95384656376
baseline,policy_fert_subsidy,MFIR,276812.44088364055
baseline,policy_fert_subsidy,MFR,242581.3647661151
baseline,policy_fert_subsidy,MMIR,321888.37071437953
baseline,policy_fert_subsidy,MMR,276812.44088364055
drought,no_policy,HFR,175121.25831499006
drought,no_policy,HMR,207315.76119466493
drought,no_policy,MFIR,259412.209701362
drought,no_policy,MFR,228081.17211421626
drought,no_policy,MMIR,300138.08173653134
drought,no_policy,MMR,259412.209701362
drought,policy_fert_subsidy,HFR,178365.58974680214
drought,policy_fert_subsidy,HMR,211371.17548443004
drought,policy_fert_subsidy,MFIR,264278.7068490801
drought,policy_fert_subsidy,MFR,232136.58640398135
drought,policy_fert_subsidy,MMIR,306221.20317117893
drought,policy_fert_subsidy,MMR,264278.7068490801
fert_shock,no_policy,HFR,178069.86195167692
fert_shock,no_policy,HMR,211001.51574052352
fert_shock,no_policy,MFIR,263835.1151563923
fert_shock,no_policy,MFR,231766.92666007485
fert_shock,no_policy,MMIR,305666.7135553192
fert_shock,no_policy,MMR,263835.1151563923
fert_shock,policy_fert_subsidy,HFR,182936.35909939505
fert_shock,policy_fert_subsidy,HMR,217084.63717517117
fert_shock,policy_fert_subsidy,MFIR,271134.8608779695
fert_shock,policy_fert_subsidy,MFR,237850.0480947225
fert_shock,policy_fert_subsidy,MMIR,314791.3957072906
fert_shock,policy_fert_subsidy,MMR,271134.8608779695
