year,household_class,profit,discounted_profit,scenario,variant
1,HFR,27145.5,27145.5,baseline,no_policy
1,HMR,32217.75,32217.75,baseline,no_policy
1,MFIR,40234.5,40234.5,baseline,no_policy
1,MMR,40234.5,40234.5,baseline,no_policy
1,MMIR,46723.5,46723.5,baseline,no_policy
1,MFR,35290.0,35290.0,baseline,no_policy
2,HFR,27145.5,24677.727272727272,baseline,no_policy
2,HMR,32217.75,29288.863636363636,baseline,no_policy
2,MFIR,40234.5,36576.818181818184,baseline,no_policy
2,MMR,40234.5,36576.818181818184,baseline,no_policy
2,MMIR,46723.5,42475.90909090909,baseline,no_policy
2,MFR,35290.0,32081.81818181818,baseline,no_policy
3,HFR,27145.5,22434.297520661155,baseline,no_policy
3,HMR,32217.75,26626.239669421484,baseline,no_policy
3,MFIR,40234.5,33251.65289256198,baseline,no_policy
3,MMR,40234.5,33251.65289256198,baseline,no_policy
3,MMIR,46723.5,38614.46280991735,baseline,no_policy
3,MFR,35290.0,29165.289256198343,baseline,no_policy
4,HFR,27145.5,20394.815927873773,baseline,no_policy
4,HMR,32217.75,24205.672426746798,baseline,no_policy
4,MFIR,40234.5,30228.77535687452,baseline,no_policy
4,MMR,40234.5,30228.77535687452,baseline,no_policy
4,MMIR,46723.5,35104.05709992486,baseline,no_policy
4,MFR,35290.0,26513.899323816673,baseline,no_policy
5,HFR,27145.5,18540.74175261252,baseline,no_policy
5,HMR,32217.75,22005.156751588,baseline,no_policy
5,MFIR,40234.5,27480.70486988593,baseline,no_policy
5,MMR,40234.5,27480.70486988593,baseline,no_policy
5,MMIR,46723.5,31912.779181749873,baseline,no_policy
5,MFR,35290.0,24103.54483983334,baseline,no_policy
6,HFR,27145.5,16855.21977510229,baseline,no_policy
6,HMR,32217.75,20004.687955989088,baseline,no_policy
6,MFIR,40234.5,24982.458972623568,baseline,no_policy
6,MMR,40234.5,24982.458972623568,baseline,no_policy
6,MMIR,46723.5,29011.617437954425,baseline,no_policy
6,MFR,35290.0,21912.313490757577,baseline,no_policy
7,HFR,27145.5,15322.92706827481,baseline,no_policy
7,HMR,32217.75,18186.079959990082,baseline,no_policy
7,MFIR,40234.5,22711.3263387487,baseline,no_policy
7,MMR,40234.5,22711.3263387487,baseline,no_policy
7,MMIR,46723.5,26374.19767086766,baseline,no_policy
7,MFR,35290.0,19920.284991597797,baseline,no_policy
8,HFR,27145.5,13929.933698431641,baseline,no_policy
8,HMR,32217.75,16532.79996362734,baseline,no_policy
8,MFIR,40234.5,20646.66030795336,baseline,no_policy
8,MMR,40234.5,20646.66030795336,baseline,no_policy
8,MMIR,46723.5,23976.543337152412,baseline,no_policy
8,MFR,35290.0,18109.34999236163,baseline,no_policy
9,HFR,27145.5,12663.57608948331,baseline,no_policy
9,HMR,32217.75,15029.818148752129,baseline,no_policy
9,MFIR,40234.5,18769.691189048506,baseline,no_policy
9,MMR,40234.5,18769.691189048506,baseline,no_policy
9,MMIR,46723.5,21796.857579229465,baseline,no_policy
9,MFR,35290.0,16463.045447601482,baseline,no_policy
10,HFR,27145.5,11512.34189953028,baseline,no_policy
10,HMR,32217.75,13663.471044320115,baseline,no_policy
10,MFIR,40234.5,17063.35562640773,baseline,no_policy
10,MMR,40234.5,17063.35562640773,baseline,no_policy
10,MMIR,46723.5,19815.325072026782,baseline,no_policy
10,MFR,35290.0,14966.40495236498,baseline,no_policy
1,HFR,27625.5,27625.5,baseline,policy_fert_subsidy
1,HMR,32817.75,32817.75,baseline,policy_fert_subsidy
1,MFIR,40954.5,40954.5,baseline,policy_fert_subsidy
1,MMR,40954.5,40954.5,baseline,policy_fert_subsidy
1,MMIR,47623.5,47623.5,baseline,policy_fert_subsidy
1,MFR,35890.0,35890.0,baseline,policy_fert_subsidy
2,HFR,27625.5,25114.090909090908,baseline,policy_fert_subsidy
2,HMR,32817.75,29834.31818181818,baseline,policy_fert_subsidy
2,MFIR,40954.5,37231.36363636363,baseline,policy_fert_subsidy
